# mrk;kap;num;dos
aksel.0o.BOT;akselo;2;oa_4
akt.0o;akto;;NULL
akt.0ujo;aktujo;;NULL
akt.0ujo.OFI;aktujo;;NULL
aktin.0o;aktino;;NULL
aktin.0o.FILZ;aktino;;NULL
aktini.0o;aktinio;;NULL
aktini.0o.ZOO;aktinio;;NULL
aktiv.0ajxo;aktivaĵo;;NULL
aktiv.0ajxo.EKON;aktivaĵo;2;NULL
aktiv.0i;aktivi;;NULL
aktiv.0i.KOMUNE;aktivi;;NULL
aktiv.0igxi;aktiviĝi;;NULL
aktiv.0igxi.KOMUNE;aktiviĝi;;NULL
aktiv.0ismo;aktivismo;;NULL
aktiv.0ismo.POL;aktivismo;;NULL
aktiv.0o;aktivo;;NULL
aktiv.0ularo;aktivularo;;NULL
aktiv.0ularo.POL;aktivularo;;NULL
aktiv.0ulo;aktivulo;;NULL
aktiv.0ulo;aktivisto;;NULL
aktiv.0ulo.POL;aktivulo;;NULL
aktiv.0ulo.POL;aktivisto;;NULL
aktiv.mal0eco;malaktiveco;;NULL
aktiv.mal0eco;senaktiveco;;NULL
aktiv.mal0eco.KOMUNE;malaktiveco;;NULL
aktiv.mal0eco.KOMUNE;senaktiveco;;NULL
aktiv.mal0i;malaktivi;;NULL
aktiv.mal0i.KOMUNE;malaktivi;;NULL
aktiv.mal0igi;malaktivigi;;NULL
aktiv.mal0igi.KOMUNE;malaktivigi;;NULL
aktiv.mal0igxi;malaktiviĝi;;NULL
aktiv.mal0igxi;senaktiviĝi;;NULL
aktiv.mal0igxi.KOMUNE;malaktiviĝi;;NULL
aktiv.mal0igxi.KOMUNE;senaktiviĝi;;NULL
aktor.0i;aktori;;NULL
aktor.0i.TEA;aktori;;NULL
aktor.film0o;filmaktoro;;NULL
aktor.film0o.KIN;filmaktoro;;NULL
aktual.0ajxo;aktualaĵo;;NULL
